,Processor Time,LogBytesFlushedSec,DiskWrites,DiskReads,CPU-DTU-Value,CPU-True-DTU-Value,CPU-DTU-Name,IOP-DTU-Value,IOP-True-DTU-Value,IOP-DTU-Name,LogBytes-DTU-Value,LogBytes-True-DTU-Value,LogBytes-DTU-Name,TotalServiceTierName
9966,1,5,2,6,20,16.0,Standard - S1,5,2.5,Basic,5,9.536743e-05,Basic,20
9967,4,7,3,8,100,64.0,Standard - S3,5,3.4375,Basic,5,0.0001335144,Basic,100
9968,3,8,9,8,50,48.0,Standard - S2,10,0.130496472,Standard - S0,5,0.000152587891,Basic,50
9969,9,1,.,0,200,144.0,Standard - S4,5,0.0,Basic,5,1.90734863e-05,Basic,200
9970,1,6,3,2,20,16.0,Standard - S1,5,1.5625,Basic,5,0.000114440918,Basic,20
9971,3,.,4,7,50,48.0,Standard - S2,5,3.4375,Basic,5,0.0,Basic,50
9972,5,7,.,9,100,80.0,Standard - S3,5,2.8125,Basic,5,0.0001335144,Basic,100
9973,5,6,5,8,100,80.0,Standard - S3,5,4.0625,Basic,5,0.000114440918,Basic,100
9974,6,5,3,7,100,96.0,Standard - S3,5,3.125,Basic,5,9.536743e-05,Basic,100
9975,3,6,6,7,50,48.0,Standard - S2,5,4.0625,Basic,5,0.000114440918,Basic,50
9976,7,8,0,0,200,112.0,Standard - S4,5,0.0,Basic,5,0.000152587891,Basic,200
9977,5,2,1,4,100,80.0,Standard - S3,5,1.5625,Basic,5,3.81469727e-05,Basic,100
9978,7,0,6,2,200,112.0,Standard - S4,5,2.5,Basic,5,0.0,Basic,200
9979,6,7,7,5,100,96.0,Standard - S3,5,3.75,Basic,5,0.0001335144,Basic,100
9980,4,0,7,0,100,64.0,Standard - S3,5,2.1875,Basic,5,0.0,Basic,100
9981,.,8,8,.,5,0.0,Basic,5,2.5,Basic,5,0.000152587891,Basic,5
9982,6,1,4,2,100,96.0,Standard - S3,5,1.875,Basic,5,1.90734863e-05,Basic,100
9983,4,6,8,5,100,64.0,Standard - S3,5,4.0625,Basic,5,0.000114440918,Basic,100
9984,.,5,0,.,5,0.0,Basic,5,0.0,Basic,5,9.536743e-05,Basic,5
9985,5,0,.,9,100,80.0,Standard - S3,5,2.8125,Basic,5,0.0,Basic,100
9986,5,2,3,2,100,80.0,Standard - S3,5,1.5625,Basic,5,3.81469727e-05,Basic,100
9987,6,6,8,0,100,96.0,Standard - S3,5,2.5,Basic,5,0.000114440918,Basic,100
9988,8,9,3,8,200,128.0,Standard - S4,5,3.4375,Basic,5,0.000171661377,Basic,200
9989,5,5,2,6,100,80.0,Standard - S3,5,2.5,Basic,5,9.536743e-05,Basic,100
9990,1,5,2,8,20,16.0,Standard - S1,5,3.125,Basic,5,9.536743e-05,Basic,20
9991,8,1,9,9,200,128.0,Standard - S4,10,0.8397163,Standard - S0,5,1.90734863e-05,Basic,200
9992,.,5,6,8,5,0.0,Basic,5,4.375,Basic,5,9.536743e-05,Basic,5
9993,1,5,2,1,20,16.0,Standard - S1,5,0.9375,Basic,5,9.536743e-05,Basic,20
9994,3,9,2,1,50,48.0,Standard - S2,5,0.9375,Basic,5,0.000171661377,Basic,50
9995,4,9,6,0,100,64.0,Standard - S3,5,1.875,Basic,5,0.000171661377,Basic,100
9996,0,.,4,8,5,0.0,Basic,5,3.75,Basic,5,0.0,Basic,5
9997,9,8,.,7,200,144.0,Standard - S4,5,2.1875,Basic,5,0.000152587891,Basic,200
9998,5,5,7,1,100,80.0,Standard - S3,5,2.5,Basic,5,9.536743e-05,Basic,100
9999,8,5,5,2,200,128.0,Standard - S4,5,2.1875,Basic,5,9.536743e-05,Basic,200
10000,1,5,2,9,20,16.0,Standard - S1,5,3.4375,Basic,5,9.536743e-05,Basic,20
10001,1,.,5,5,20,16.0,Standard - S1,5,3.125,Basic,5,0.0,Basic,20
10002,8,4,1,0,200,128.0,Standard - S4,5,0.3125,Basic,5,7.62939453e-05,Basic,200
10003,7,2,7,5,200,112.0,Standard - S4,5,3.75,Basic,5,3.81469727e-05,Basic,200
10004,8,5,8,6,200,128.0,Standard - S4,5,4.375,Basic,5,9.536743e-05,Basic,200
10005,5,9,.,.,100,80.0,Standard - S3,5,0.0,Basic,5,0.000171661377,Basic,100
10006,1,7,1,4,20,16.0,Standard - S1,5,1.5625,Basic,5,0.0001335144,Basic,20
10007,7,8,9,5,200,112.0,Standard - S4,5,4.375,Basic,5,0.000152587891,Basic,200
10008,2,8,9,4,50,32.0,Standard - S2,5,4.0625,Basic,5,0.000152587891,Basic,50
10009,1,5,3,2,20,16.0,Standard - S1,5,1.5625,Basic,5,9.536743e-05,Basic,20
10010,7,8,7,3,200,112.0,Standard - S4,5,3.125,Basic,5,0.000152587891,Basic,200
10011,.,5,4,4,5,0.0,Basic,5,2.5,Basic,5,9.536743e-05,Basic,5
10012,7,5,1,5,200,112.0,Standard - S4,5,1.875,Basic,5,9.536743e-05,Basic,200
10013,9,6,5,6,200,144.0,Standard - S4,5,3.4375,Basic,5,0.000114440918,Basic,200
10014,1,3,4,3,20,16.0,Standard - S1,5,2.1875,Basic,5,5.722046e-05,Basic,20
10015,9,3,6,3,200,144.0,Standard - S4,5,2.8125,Basic,5,5.722046e-05,Basic,200
10016,.,6,7,.,5,0.0,Basic,5,2.1875,Basic,5,0.000114440918,Basic,5
10017,4,6,5,6,100,64.0,Standard - S3,5,3.4375,Basic,5,0.000114440918,Basic,100
10018,0,.,9,7,5,0.0,Basic,5,5.0,Basic,5,0.0,Basic,5
10019,1,0,7,5,20,16.0,Standard - S1,5,3.75,Basic,5,0.0,Basic,20
10020,1,4,3,2,20,16.0,Standard - S1,5,1.5625,Basic,5,7.62939453e-05,Basic,20
10021,7,5,0,6,200,112.0,Standard - S4,5,1.875,Basic,5,9.536743e-05,Basic,200
10022,.,7,9,.,5,0.0,Basic,5,2.8125,Basic,5,0.0001335144,Basic,5
10023,6,8,.,.,100,96.0,Standard - S3,5,0.0,Basic,5,0.000152587891,Basic,100
10024,1,.,4,9,20,16.0,Standard - S1,5,4.0625,Basic,5,0.0,Basic,20
10025,6,4,4,8,100,96.0,Standard - S3,5,3.75,Basic,5,7.62939453e-05,Basic,100
10026,3,1,.,9,50,48.0,Standard - S2,5,2.8125,Basic,5,1.90734863e-05,Basic,50
10027,6,2,0,1,100,96.0,Standard - S3,5,0.3125,Basic,5,3.81469727e-05,Basic,100
10028,7,5,0,9,200,112.0,Standard - S4,5,2.8125,Basic,5,9.536743e-05,Basic,200
10029,6,1,8,9,100,96.0,Standard - S3,10,0.130496472,Standard - S0,5,1.90734863e-05,Basic,100
10030,8,9,3,7,200,128.0,Standard - S4,5,3.125,Basic,5,0.000171661377,Basic,200
10031,7,9,1,1,200,112.0,Standard - S4,5,0.625,Basic,5,0.000171661377,Basic,200
10032,9,2,1,4,200,144.0,Standard - S4,5,1.5625,Basic,5,3.81469727e-05,Basic,200
10033,7,6,.,9,200,112.0,Standard - S4,5,2.8125,Basic,5,0.000114440918,Basic,200
10034,.,1,9,1,5,0.0,Basic,5,3.125,Basic,5,1.90734863e-05,Basic,5
10035,7,3,5,6,200,112.0,Standard - S4,5,3.4375,Basic,5,5.722046e-05,Basic,200
10036,9,0,0,9,200,144.0,Standard - S4,5,2.8125,Basic,5,0.0,Basic,200
10037,8,4,5,3,200,128.0,Standard - S4,5,2.5,Basic,5,7.62939453e-05,Basic,200
10038,0,.,7,1,5,0.0,Basic,5,2.5,Basic,5,0.0,Basic,5
10039,8,2,6,1,200,128.0,Standard - S4,5,2.1875,Basic,5,3.81469727e-05,Basic,200
10040,.,9,5,3,5,0.0,Basic,5,2.5,Basic,5,0.000171661377,Basic,5
10041,.,4,0,6,5,0.0,Basic,5,1.875,Basic,5,7.62939453e-05,Basic,5
10042,4,8,3,5,100,64.0,Standard - S3,5,2.5,Basic,5,0.000152587891,Basic,100
10043,3,4,5,7,50,48.0,Standard - S2,5,3.75,Basic,5,7.62939453e-05,Basic,50
10044,7,7,9,5,200,112.0,Standard - S4,5,4.375,Basic,5,0.0001335144,Basic,200
10045,5,5,9,9,100,80.0,Standard - S3,10,0.8397163,Standard - S0,5,9.536743e-05,Basic,100
10046,8,5,1,3,200,128.0,Standard - S4,5,1.25,Basic,5,9.536743e-05,Basic,200
10047,4,8,.,.,100,64.0,Standard - S3,5,0.0,Basic,5,0.000152587891,Basic,100
10048,5,2,4,6,100,80.0,Standard - S3,5,3.125,Basic,5,3.81469727e-05,Basic,100
10049,8,9,5,2,200,128.0,Standard - S4,5,2.1875,Basic,5,0.000171661377,Basic,200
10050,7,.,6,1,200,112.0,Standard - S4,5,2.1875,Basic,5,0.0,Basic,200
10051,4,.,3,8,100,64.0,Standard - S3,5,3.4375,Basic,5,0.0,Basic,100
10052,7,6,.,.,200,112.0,Standard - S4,5,0.0,Basic,5,0.000114440918,Basic,200
10053,0,0,1,5,5,0.0,Basic,5,1.875,Basic,5,0.0,Basic,5
10054,1,5,3,9,20,16.0,Standard - S1,5,3.75,Basic,5,9.536743e-05,Basic,20
10055,1,5,3,1,20,16.0,Standard - S1,5,1.25,Basic,5,9.536743e-05,Basic,20
10056,3,9,.,.,50,48.0,Standard - S2,5,0.0,Basic,5,0.000171661377,Basic,50
10057,8,9,9,7,200,128.0,Standard - S4,5,5.0,Basic,5,0.000171661377,Basic,200
10058,1,8,7,2,20,16.0,Standard - S1,5,2.8125,Basic,5,0.000152587891,Basic,20
10059,6,1,8,8,100,96.0,Standard - S3,5,5.0,Basic,5,1.90734863e-05,Basic,100
10060,6,9,9,5,100,96.0,Standard - S3,5,4.375,Basic,5,0.000171661377,Basic,100
10061,7,0,0,5,200,112.0,Standard - S4,5,1.5625,Basic,5,0.0,Basic,200
10062,6,5,9,9,100,96.0,Standard - S3,10,0.8397163,Standard - S0,5,9.536743e-05,Basic,100
